word,score,worktime,moneyrating,colleague,job,companyculture,social,growthtraining
人,0,,,,,,,
ため,0,,,,,,,
こと,0,,,,,,,
会社,0,,,,,,,
仕事,0,,,,1,,,
環境,0,,,,,1,,
良い,1,,,,,,,
方,0,,,,,,,
自分,0,,,,,,,
やすい,1,,,,,,,
成長,1,,,,,,,1
業務,0,,,,,,,
ない,0,,,,,,,
多い,0,,,,,,,
の,0,,,,,,,
友人,0,,,,,,,
点,0,,,,,,,
紹介,0,,,,,,,
やりがい,1,,,,,,,
知人,0,,,,,,,
的,0,,,,,,,
よう,0,,,,,,,
いい,1,,,,,,,
等,0,,,,,,,
お勧め,1,,,,,,,
社風,0,,,,,1,,
多く,0,,,,,,,
面,0,,,,,,,
給与,0,,1,,,,,
おすすめ,1,,,,,,,
そう,0,,,,,,,
入社,0,,,,,,,
職場,0,,,,,1,,
高い,0,,,,,,,
企業,0,,,,,,,
内容,0,,,,,,,
ところ,0,,,,,,,
社員,0,,,,,,,
福利厚生,0,,1,,,,,
とても,0,,,,,,,
経験,0,,,,,,,
制度,0,,1,,,,,
雰囲気,0,,,,,,,
さ,0,,,,,,,
為,0,,,,,,,
評価,0,,1,,,,,
部署,0,,,,,,,
転職,0,,,,,,,
あまり,0,,,,,,,
私,0,,,,,,,
給料,0,,1,,,,,
者,0,,,,,,,
非常,0,,,,,,,
にくい,-1,,,,,,,
難しい,-1,,,,,,,
特に,0,,,,,,,
しっかり,0,,,,,,,
場合,0,,,,,,,
風土,0,,,,,1,,
量,0,,,,,,,
勤務,0,,,,,,,
社内,0,,,,,,,
事,0,,,,,,,
部分,0,,,,,,,
自由,0,,,,,,,
それ,0,,,,,,,
グループ,0,,,,,,,
事業,0,,,,1,,,
よい,1,,,,,,,
充実,1,,,,,,,
魅力,1,,,,,,,
上司,0,,,1,,,,
自分自身,0,,,,,,,
個人,0,,,,,,,
他,0,,,,,,,
業界,0,,,,,,,
他社,0,,,,,,,
機会,0,,,,,,,
もの,0,,,,,,,
女性,0,,,,,,,
少ない,-1,,,,,,,
よく,0,,,,,,,
理由,0,,,,,,,
安定,0,,,,,,,
必要,0,,,,,,,
残業,0,,,,,,,
キャリア,0,,,,,,,
大きい,0,,,,,,,
悪い,-1,,,,,,,
労働時間,0,1,,,,,,
状況,0,,,,,,,
気,0,,,,,,,
社会,0,,,,,,1,
自身,0,,,,,,,
組織,0,,,,,,,
時間,0,,,,,,,
中,0,,,,,,,
どう,0,,,,,,,
今,0,,,,,,,
良く,1,,,,,,,
シミック,0,,,,,,,
採用,0,,,,,,,
本人,0,,,,,,,
なく,0,,,,,,,
マイナス,-1,,,,,,,
職種,0,,,,,,,
大変,-1,,,,,,,
RCA,0,,,,,,,
待遇,0,,1,,,,,
周り,0,,,,,,,
活躍,0,,,,,,,
体制,0,,,,,1,,
人材,0,,,1,,,,
人間関係,0,,,1,,,,
かなり,0,,,,,,,
職,0,,,,,,,
興味,0,,,,,,,
まだ,0,,,,,,,
現在,0,,,,,,,
教育,0,,,,,,,1
日立,0,,,,,,,
厳しい,0,,,,,,,
長く,0,,,,,,,
仲間,0,,,,,,,
希望,0,,,,,,,
周囲,0,,,,,,,
楽しい,1,,,,,,,
マッチ,0,,,,,,,
以上,0,,,,,,,
差,0,,,,,,,
意欲,0,,,,,,,
大きく,0,,,,,,,
理解,0,,,,,,,
不向き,0,,,,,,,
志向,0,,,,,,,
高く,0,,,,,,,
何,0,,,,,,,
次第,0,,,,,,,
チャレンジ,0,,,,,,,
点数,0,,,,,,,
強く,0,,,,,,,
意味,0,,,,,,,
現状,0,,,,,,,
比較,0,,,,,,,
責任,0,,,,,,,
年齢,0,,,,,,,
職場環境,0,,,,,1,,
期待,0,,,,,,,
後,0,,,,,,,
力,0,,,,,,,
満足,1,,,,,,,
低い,0,,,,,,,
不安,-1,,,,,,,
スキル,0,,,,,,,
相手,0,,,,,,,
誰,0,,,,,,,
はっきり,0,,,,,,,
自信,0,,,,,,,
時,0,,,,,,,
フレックス,0,,,,,,,
能力,0,,,,,,,
将来,0,,,,,,,
い人,0,,,,,,,
可能性,0,,,,,,,
悪く,0,,,,,,,
前,0,,,,,,,
積極的,1,,,,,,,
イメージ,0,,,,,,,
性,0,,,,,,,
問題,0,,,,,,,
関係,0,,,,,,,
ある程度,0,,,,,,,
長い,0,,,,,,,
風通し,0,,,,,1,,
実際,0,,,,,,,
向き,0,,,,,,,
リクルート,0,,,,,1,,
わけ,0,,,,,,,
無い,0,,,,,,,
CRC,0,,,,,,,
文化,0,,,,,,,
現場,0,,,,,,,
オススメ,0,,,,,,,
10点,0,,,,,,,
やすく,1,,,,,,,
全体,0,,,,,,,
分野,0,,,,,,,
ワークライフバランス,0,1,,,,,,
上,0,,,,,,,
強い,0,,,,,,,
研修,0,,,,,,,1
改善,0,,,,,,,
内,0,,,,,,,
意見,0,,,,,,,
レベル,0,,,,,,,
そこ,0,,,,,,,
づらい,0,,,,,,,
n,0,,,,,,,
比較的,0,,,,,,,
先,0,,,,,,,
基本的,0,,,,,,,
対応,0,,,,,,,
素晴らしい,1,,,,,,,
タイプ,0,,,,,,,
労働環境,0,,1,,,,,
手当,0,,1,,,,,
以外,0,,,,,,,
将来性,0,,,,,,,
新しい,0,,,,,,,
日立製作所,0,,,,,,,
これ,0,,,,,,,
好き,1,,,,,,,
意識,0,,,,,,,
明確,0,,,,,,,
目標,0,,,,,,,
今後,0,,,,,,,
判断,0,,,,,,,
価値観,0,,,,,,,
オフィス,0,,,,,,,
新卒,0,,,,,,,
一緒,0,,,,,,,
負担,0,,,,,,,
技術,0,,,,,,,
知識,0,,,,,,,
様々,0,,,,,,,
裁量,0,,,,,,,1
それぞれ,0,,,,,,,
度,0,,,,,,,
2点,0,,,,,,,
自己,0,,,,,,,
個人的,0,,,,,,,
メリット,1,,,,,,,
7点,0,,,,,,,
プロジェクト,0,,,,,,,
価値,0,,,,,,,
サポート,0,,,,,,,
考え方,0,,,,,,,
所属,0,,,,,,,
休み,0,1,,,,,,
CRO,0,,,,,,,
全く,0,,,,,,,
モチベーション,0,,,,,,,
少し,0,,,,,,,
優秀,0,,,1,,,,
常に,0,,,,,,,
人間,0,,,,,,,
印象,0,,,,,,,
英語,0,,,,,,,
変化,0,,,,,,,
配属,0,,,,,,,
業種,0,,,,,,,
中途,0,,,,,,,
ビジョン,0,,,,,,,
貢献,0,,,,,,,
自体,0,,,,,,,
楽しく,1,,,,,,,
本当に,0,,,,,,,
工場,0,,,,,,,
刺激,0,,,,,,,1
若い,1,,,,,,,
先輩,0,,,,,,,
親しい,1,,,1,,,,
場,0,,,,,,,
忙しい,-1,1,,,,,,
感,0,,,,,,,
ポイント,0,,,,,,,
1,0,,,,,,,
作業,0,,,,,,,
疑問,0,,,,,,,
メンバー,0,,,,,,,
日々,0,,,,,,,
人生,0,,,,,,,
観点,0,,,,,,,
CRA,0,,,,,,,
気持ち,0,,,,,,,
覚悟,0,,,,,,,
やる気,0,,,,,,,
大切,0,,,,,,,
部門,0,,,,,,,
以前,0,,,,,,,
バランス,0,,,,,,,
きちんと,0,,,,,,,
最近,0,,,,,,,
もっと,0,,,,,,,
規模,0,,,,,,,
尊重,0,,,,,,,
正直,0,,,,,,,
相談,0,,,,,,,
ストレス,0,,,,,,,
当社,0,,,,,,,
子育て,0,,,,,,,
システム,0,,,,,,,
リクルートキャリア,0,,,,,,,
日本,0,,,,,,,
業績,0,,,,,,,
すごく,0,,,,,,,
長期,0,,,,,,,
フィット,0,,,,,,,
営業,0,,,,,,,
私自身,0,,,,,,,
意思,0,,,,,,,
5点,0,,,,,,,
しない,0,,,,,,,
たくさん,0,,,,,,,
人事,0,,,,,,,
なかなか,0,,,,,,,
医療,0,,,,,,,
身,0,,,,,,,
甲斐,1,,,,,,,
大企業,0,,,,,,,
条件,0,,,,,,,
若手,0,,,,,,,
実感,0,,,,,,,
全員,0,,,,,,,
とき,0,,,,,,,
L,0,,,,,,,
自ら,0,,,,,,,
合致,0,,,,,,,
Y,0,,,,,,,
多,0,,,,,,,
いない,-1,,,,,,,
考え,0,,,,,,,
CMO,0,,,,,,,
8点,0,,,,,,,
色々,0,,,,,,,
従業員,0,,,,,,,
報酬,0,,,,,,,
退職,0,,,,,,,
なし,0,,,,,,,
年,0,,,,,,,
知り合い,0,,,,,,,
最高,0,,,,,,,
話,0,,,,,,,
20代,0,,,,,,,
一方,0,,,,,,,
IT,0,,,,,,,
休暇,0,1,,,,,,
不満,0,,,,,,,
若い人,0,,,,,,,
2,0,,,,,,,
取得,0,,,,,,,
たい人,0,,,,,,,
長時間労働,0,1,,,,,,
減点,-1,,,,,,,
産休,0,1,,,,,,
ハード,0,,,,,,,
可能,0,,,,,,,
担当,0,,,,,,,
いろいろ,0,,,,,,,
間,0,,,,,,,
カルチャー,0,,,,,,,
提供,0,,,,,,,
方々,0,,,,,,,
子供,0,,,,,,,
やす,0,,,,,,,
十分,0,,,,,,,
フォロー,0,,,,,,,
どちら,0,,,,,,,
状態,0,,,,,,,
重視,0,,,,,,,
開発,0,,,,,,,
同僚,0,,,,,,,
人たち,0,,,,,,,
大事,0,,,,,,,
製造,0,,,,,,,
チーム,0,,,,,,,
意義,0,,,,,,,
管理,0,,,,,,,
プライベート,0,,,,,,,
勤務時間,0,1,,,,,,
安い,0,,,,,,,
企業文化,0,,,,,1,,
是非,1,,,,,,,
1,0,,,,,,,
うち,0,,,,,,,
自由度,0,,,,,,,
未経験,0,,,,,,,
万人,0,,,,,,,
3,0,,,,,,,
目,0,,,,,,,
化,0,,,,,,,
実現,0,,,,,,,
結果,0,,,,,,,
社会貢献,0,,,,,,1,
誇り,0,,,,,,,
割,0,,,,,,,
10,0,,,,,,,
チャンス,0,,,,,,,
それなり,0,,,,,,,
すべて,0,,,,,,,
前向き,1,,,,,,,
理念,0,,,,,1,,
ぜひ,0,,,,,,,
30代,0,,,,,,,
不明,0,,,,,,,
ここ,0,,,,,,,
程度,0,,,,,,,
0,0,,,,,,,
施設,0,,,,,,,
マネジメント,0,,,,,,,
昔,0,,,,,,,
逆,0,,,,,,,
成果,0,,,,,,,
D,0,,,,,,,
コミュニケーション,0,,,,,,,
考慮,0,,,,,,,
生活,0,,,,,,,
ほしい,0,,,,,,,
世の中,0,,,,,,1,
影響,0,,,,,,,
世代,0,,,,,,,
医薬品,0,,,,,,,
まだまだ,0,,,,,,,
社会的,0,,,,,,1,
傾向,0,,,,,,,
系,0,,,,,,,
これから,0,,,,,,,
さん,0,,,,,,,
ほう,0,,,,,,,
数,0,,,,,,,
目的,0,,,,,,,
相性,0,,,,,,,
5,0,,,,,,,
経営,0,,,,,,,
独特,0,,,,,,,
適性,0,,,,,,,
グローバル,0,,,,,,,
もちろん,0,,,,,,,
セキュリティ,0,,,,,,,
思い,0,,,,,,,
育児,0,1,,,,,,
お客様,0,,,,,,,
一概に,0,,,,,,,
感じ,0,,,,,,,
地,0,,,,,,,
必ずしも,0,,,,,,,
全て,0,,,,,,,
多様,0,,,,,,,
本気,0,,,,,,,
分,0,,,,,,,
際,0,,,,,,,
場所,0,,,,,,,
原子力,0,,,,,,,
説明,0,,,,,,,
顧客,0,,,,,,,
調整,0,,,,,,,
少なく,0,,,,,,,
どこ,0,,,,,,,
住宅,0,,,,,,,
共感,0,,,,,,,
姿勢,0,,,,,,,
前提,0,,,,,,,
限り,0,,,,,,,
トレンドマイクロ,0,,,,,,,
社,0,,,,,,,
家族,0,,,,,,,
方針,0,,,,,,,
面白い,1,,,,,,,
特殊,0,,,,,,,
積極,0,,,,,,,
上記,0,,,,,,,
治験,0,,,,1,,,
デメリット,-1,,,,,,,
昇給,0,,,,,,,
適切,0,,,,,,,
給与水準,0,,1,,,,,
激しい,0,,,,,,,
看護師,0,,,,,,,
行動,0,,,,,,,
反面,0,,,,,,,
課題,0,,,,,,,
ｹ,0,,,,,,,
グループ会社,0,,,,,,,
プラス,0,,,,,,,
専門,0,,,,,,,
上長,0,,,,,,,
中途採用,0,,,,,,,
5,0,,,,,,,
育休,0,1,,,,,,
契約社員,0,,,,,,,
ミッション,0,,,,,,,
働き,0,,,,,,,
家庭,0,,,,,,,
挑戦,0,,,,,,,
把握,0,,,,,,,
賃金,0,,,,,,,
別,0,,,,,,,
2,0,,,,,,,
低く,0,,,,,,,
楽,0,,,,,,,
満点,0,,,,,,,
t,0,,,,,,,
活動,0,,,,,,,
試験,0,,,,,,,
向上心,0,,,,,,,
時短,0,,,,,,,
時代,0,,,,,,,
同年代,0,,,,,,,
やや,0,,,,,,,
安定性,0,,,,,,,
大き,0,,,,,,,
発展,0,,,,,,,
ポジション,0,,,,,,,
間違い,0,,,,,,,
一人,0,,,,,,,
苦労,0,,,,,,,
人として,0,,,,,,,
安心,0,,,,,,,
両立,0,,,,,,,
立場,0,,,,,,,
選択肢,0,,,,,,,
A,0,,,,,,,
コンプライアンス,0,,,,,,,
支援,0,,,,,,,
友達,0,,,,,,,
ほとんど,0,,,,,,,
実施,0,,,,,,,
違い,0,,,,,,,
管理職,0,,,1,,,,
融通,0,,,,,,,
働きがい,0,,,,,,,
真ん中,0,,,,,,,
仕組み,0,,,,,,,
納得,0,,,,,,,
多々,0,,,,,,,
H,0,,,,,,,
病院,0,,,,,,,
居心地,0,,,,,,,
尊敬,1,,,1,,,,
多忙,0,,,,,,,
専門性,0,,,,,,,
辛い,-1,,,,,,,
向上,0,,,,,,,
意志,0,,,,,,,
推薦,0,,,,,,,
要求,0,,,,,,,
良さ,0,,,,,,,
g,0,,,,,,,
推奨,0,,,,,,,
信頼,0,,,,,,,
パレクセル,0,,,,,,,
導入,0,,,,,,,
スキルアップ,0,,,,,,,
休日,0,1,,,,,,
一番,0,,,,,,,
新人,0,,,,,,,
LM,0,,,,,,,
志向性,0,,,,,,,
収入,0,,,,,,,
W,0,,,,,,,
B,0,,,,,,,
みんな,0,,,,,,,
こちら,0,,,,,,,
訳,0,,,,,,,
雇用,0,,,,,,,
k,0,,,,,,,
数字,0,,,,,,,
外,0,,,,,,,
プレッシャー,0,,,,,,,
より,0,,,,,,,
要素,0,,,,,,,
個々,0,,,,,,,
6点,0,,,,,,,
すぐ,0,,,,,,,
結婚,0,,,,,,,
い方,0,,,,,,,
つらい,-1,,,,,,,
質問,0,,,,,,,
1点,0,,,,,,,
他人,0,,,,,,,
スタイル,0,,,,,,,
重要,0,,,,,,,
仕方,0,,,,,,,
有休,0,1,,,,,,
志,0,,,,,,,
やはり,0,,,,,,,
しんどい,-1,,,,,,,
以降,0,,,,,,,
範囲,0,,,,,,,
製薬,0,,,,,,,
側,0,,,,,,,
実績,0,,,,,,,
一般,0,,,,,,,
質,0,,,,,,,
回答,0,,,,,,,
協力,0,,,,,,,
定年,0,,,,,,,
部,0,,,,,,,
選択,0,,,,,,,
正社員,0,,,,,,,
所,0,,,,,,,
幅,0,,,,,,,
U,0,,,,,,,
進め方,0,,,,,,,
SSI,0,,,,,,,
弊社,0,,,,,,,
実力,0,,,,,,,
全力,0,,,,,,,
職務,0,,,,,,,
性格,0,,,,,,,
思考,0,,,,,,,
まわり,0,,,,,,,
発揮,0,,,,,,,
知名度,0,,,,,,,
4,0,,,,,,,
外資系,0,,,,,,,
個々人,0,,,,,,,
懸念,0,,,,,,,
1人,0,,,,,,,
マネージャー,0,,,,,,,
9点,0,,,,,,,
土日,0,1,,,,,,
中間,0,,,,,,,
情報,0,,,,,,,
不足,0,,,,,,,
体系,0,,,,,,,
残念,-1,,,,,,,
ほぼ,0,,,,,,,
一,0,,,,,,,
世間,0,,,,,,,
スタンス,0,,,,,,,
出産,0,1,,,,,,
設定,0,,,,,,,
外勤,0,,,,,,,
相当,0,,,,,,,
精神的,0,,,,,,,
決して,0,,,,,,,
キャリアプラン,0,,,,,,,
CA,0,,,,,,,
転勤,0,,,,,,,
一概,0,,,,,,,
技術者,0,,,,,,,
在宅,0,,,,,,,
0,0,,,,,,,
存在,0,,,,,,,
離職率,0,,,,,1,,
事実,0,,,,,,,
様,0,,,,,,,
勉強,0,,,,,,,
共有,0,,,,,,,
精神,0,,,,,,,
スタッフ,0,,,,,,,
簡単,0,,,,,,,
フィールド,0,,,,,,,
無駄,0,,,,,,,
雇用形態,0,,,,,,,
普通,0,,,,,,,
左右,0,,,,,,,
6,0,,,,,,,
Global,0,,,,,,,
総合的,0,,,,,,,
就職,0,,,,,,,
M,0,,,,,,,
ビジネス,0,,,,,,,
ススメ,0,,,,,,,
ｲ,0,,,,,,,
就業,0,,,,,,,
もし,0,,,,,,,
きつい,-1,,,,,,,
受託,0,,,,,,,
残業時間,0,1,,,,,,
3点,0,,,,,,,
対象,0,,,,,,,
高さ,0,,,,,,,
皆,0,,,,,,,
想定,0,,,,,,,
展開,0,,,,,,,
昇格,0,,1,,,,,
好きな人,0,,,,,,,
GE,0,,,,,,,
時期,0,,,,,,,
たち,0,,,,,,,
裁量権,0,,,,1,,,
うまく,0,,,,,,,
製薬会社,0,,,,,,,
署,0,,,,,,,
個性,0,,,,,,,
集中,0,,,,,,,
各種,0,,,,,,,
努力,0,,,,,,,
メンタル,0,,,,,,,
o,0,,,,,,,
長,0,,,,,,,
多様性,0,,,1,,,,
課,0,,,,,,,
声,0,,,,,,,
東京,0,,,,,,,
該当,0,,,,,,,
ハッキリ,0,,,,,,,
エンジニア,0,,,,,,,
幅広い,0,,,,,,,
視点,0,,,,,,,
フラット,0,,,,,,,
リソース,0,,,,,,,
喜び,1,,,,,,,
自社,0,,,,,,,
忙し,0,1,,,,,,
同期,0,,,,,,,
7,0,,,,,,,
有給,0,1,,,,,,
弱い,-1,,,,,,,
達成,0,,,,,,,
ｺ,0,,,,,,,
方向,0,,,,,,,
処遇,0,,1,,,,,
例,0,,,,,,,
良好,1,,,,,,,
とも,0,,,,,,,
海外,0,,,,,,,
広く,0,,,,,,,
一部,0,,,,,,,
h,0,,,,,,,
年次,0,,,,,,,
異動,0,,,,,,,
ニーズ,0,,,,,,,
外資,0,,,,,,,
何とも,0,,,,,,,
人材育成,0,,,,,,,1
体力,0,,,,,,,
Will,0,,,,,,,
近い,0,,,,,,,
在籍,0,,,,,,,
場面,0,,,,,,,
スケジュール,0,,,,,,,
福利,0,,1,,,,,
ギャップ,0,,,,,,,
労働条件,0,1,,,,,,
もう少し,-1,,,,,,,
外部,0,,,,,,,
教育制度,0,,,,,,,1
易い,1,,,,,,,
圧倒的,0,,,,,,,
その他,0,,,,,,,
育成,0,,,,,,,1
がち,0,,,,,,,
RA,0,,,,,,,
本音,0,,,,,,,
不十分,-1,,,,,,,
基本,0,,,,,,,
拠点,0,,,,,,,
日本企業,0,,,,,,,
あわ,0,,,,,,,
一定,0,,,,,,,
新入社員,0,,,,,,,
水準,0,,,,,,,
ばらつき,0,,,,,,,
困難,-1,,,,,,,
発生,0,,,,,,,
取り組み,0,,,,,,,
自主,0,,,,,,,
年収,0,,,,,,,
リスク,0,,,,,,,
鬼,0,,,,,,,
製品,0,,,,,,,
ずっと,0,,,,,,,
お互い,0,,,,,,,
8,0,,,,,,,
適正,0,,,,,,,
特徴,0,,,,,,,
想い,0,,,,,,,
ルール,0,,,,,,,
SMO,0,,,,,,,
ハードル,0,,,,,,,
大好き,1,,,,,,,
8,0,,,,,,,
配慮,0,,,,,,,
衢,0,,,,,,,
依頼,0,,,,,,,
強,0,,,,,,,
事情,0,,,,,,,
あと,0,,,,,,,
ﾅ,0,,,,,,,
人財,0,,,,,,,
同業他社,0,,,,,,,
型,0,,,,,,,
ライフスタイル,0,,,,,,,
欲しい,0,,,,,,,
魅力的,0,,,,,,,
無理,0,,,,,,,
関連,0,,,,,,,
・,0,,,,,,,
年代,0,,,,,,,
感覚,0,,,,,,,
ただ,0,,,,,,,
やり方,0,,,,,,,
適応,1,,,,,,,
さらに,0,,,,,,,
発言,0,,,,,,,
一生,0,,,,,,,
柔軟性,0,,,,,,,
安易,0,,,,,,,
タフ,0,,,,,,,
組織風土,0,,,,,1,,
就業時間,0,1,,,,,,
カンパニー,0,,,,,,,
まったく,0,,,,,,,
優先,0,,,,,,,
慎重,0,,,,,,,
いま,0,,,,,,,
激務,0,1,,,,,,
闊達,0,,,,,,,
領域,0,,,,,,,
社会人,0,,,,,,,
大量,0,,,,,,,
全社,0,,,,,,,
メーカー,0,,,,,,,
社外,0,,,,,,,
地区,0,,,,,,,
日,0,,,,,,,
復帰,0,,,,,,,
毎日,0,,,,,,,
言葉,0,,,,,,,
ものすごく,0,,,,,,,
下,0,,,,,,,
ちょっと,0,,,,,,,
らい,0,,,,,,,
全体的,0,,,,,,,
COL,0,,,,,,,
特有,0,,,,,,,
1年目,0,,,,,,,
厳し,0,,,,,,,
やさしい,1,,,,,,,
リーディング,0,,,,,,,
ＲＣＡ,0,,,,,,,
早く,0,,,,,,,
未来,0,,,,,,,
勤務形態,0,,,,,,,
心配,0,,,,,,,
切磋琢磨,0,,,,,,,
サービス,0,,,,,,,
基準,0,,,,,,,
そのため,0,,,,,,,
結構,0,,,,,,,
忙しく,-1,1,,,,,,
グローバルな,0,,,,,,,
当然,0,1,,,,,,
ハードワーク,0,,,,,,,
面談,0,,,,,,,
平均,0,,,,,,,
具体的,0,,,,,,,
人柄,0,,,1,,,,
偏り,0,,,,,,,
どうしても,0,,,,,,,
長さ,0,,,,,,,
立地,0,,,,,,,
7,0,,,,,,,
e,0,,,,,,,
疲弊,-1,,,,,,,
WLB,0,,,,,,,
エネルギー,0,,,,,,,
長期的,0,,,,,,,
良し,0,,,,,,,
出勤,0,,,,,,,
激しく,0,,,,,,,
素敵,0,,,,,,,
R,0,,,,,,,
過多,-1,,,,,,,
抵抗,0,,,,,,,
一生懸命,0,,,,,,,
若干,0,,,,,,,
人事評価,0,,1,,,,,
解決,0,,,,,,,
S,0,,,,,,,
強み,0,,,,,,,
キャリアアップ,0,,,,,,,
職業,0,,,,,,,
両方,0,,,,,,,
推進,0,,,,,,,
当たり前,0,,,,,,,
設備,0,,,,,,,
ー,0,,,,,,,
達成感,0,,,,,,,
絶対,0,,,,,,,
新薬,0,,,,,,,
賞与,0,,,,,,,
ひと,0,,,,,,,
バリバリ,0,,,,,,,
高,0,,,,,,,
競合,0,,,,,,,
事業所,0,,,,,,,
ん,0,,,,,,,
仲,0,,,,,,,
ﾕ,0,,,,,,,
生命,0,,,,,,,
直接,0,,,,,,,
制,0,,,,,,,
後輩,0,,,,,,,
帰宅,0,,,,,,,
他者,0,,,,,,,
同士,0,,,,,,,
まま,0,,,,,,,
ケース,0,,,,,,,
浸透,0,,,,,,,
企画,0,,,,,,,
真剣,0,,,,,,,
部下,0,,,,,,,
総じて,0,,,,,,,
学び,0,,,,,,,
面接,0,,,,,,,
幸せ,0,,,,,,,
数年,0,,,,,,,
退社,0,,,,,,,
参加,0,,,,,,,
メーカ,0,,,,,,,
実態,0,,,,,,,
期,0,,,,,,,
想像,0,,,,,,,
通常,0,,,,,,,
一般的,0,,,,,,,
連絡,0,,,,,,,
患者,0,,,,,,,
その後,0,,,,,,,
すごい,0,,,,,,,
整備,0,,,,,,,
役職,0,,,,,,,
連携,0,,,,,,,
負荷,-1,,,,,,,
反映,0,,,,,,,
同業,0,,,,,,,
半ば,0,,,,,,,
高度,0,,,,,,,
そこそこ,0,,,,,,,
層,0,,,,,,,
当事者意識,0,,,,,,,
観,0,,,,,,,
新た,0,,,,,,,
遅く,0,,,,,,,
樫,0,,,,,,,
それら,0,,,,,,,
O,0,,,,,,,
設計,0,,,,,,,
すばらしい,1,,,,,,,
